"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,88.76,3.05,0.16,8.03,0,0,0,0
2010,93.24,3.76,0.77,2,0.21,0,0,0.01
2011,87.46,7.64,0.34,3.11,1.34,0,0.1,0.02
2012,87.81,8.36,0.09,1.63,1.9,0,0.19,0.02
2013,91.66,7.01,0.02,1.17,0,0,0.13,0
2014,90.05,8.08,0.57,1.21,0,0.04,0.04,0
2015,86.83,9.67,1.95,1.48,0,0.07,0,0
2016,84.8,7.86,5.92,1.35,0,0.06,0,0
2017,89.68,7.8,1.66,0.81,0,0.05,0,0
2018,84.43,9.87,4.28,0.99,0,0.43,0,0
2019,76.92,9.59,12.61,0.58,0,0.29,0,0
2020,72.95,16.62,9.42,0.52,0,0.5,0,0
2021,77.06,8.74,13.54,0.47,0,0.19,0,0
2022,70.7,10.12,18.13,0.79,0,0.26,0,0
2023,60.85,10.2,28.33,0.45,0,0.17,0,0
