"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,93.56,4.01,1.97,0.45,0,0,0,0
2010,94.42,4.81,0.04,0.64,0,0.07,0,0.02
2011,91.81,6.14,0.09,1.37,0,0.54,0.05,0.01
2012,93.29,4.75,0.11,0.95,0,0.84,0.07,0
2013,90.96,7.35,0.06,1.53,0,0,0.08,0
2014,90.92,6.63,0.29,1.49,0.58,0,0.09,0
2015,89.48,8.03,2.02,0.37,0.09,0,0,0
2016,76.19,7.12,15.83,0.83,0.03,0,0,0
2017,90.82,6.46,2.35,0.37,0,0,0,0
2018,81.98,9.39,8.23,0.31,0.1,0,0,0
2019,84.18,10.06,5.27,0.38,0.1,0,0,0
2020,71.13,26.04,2.47,0.28,0.08,0,0,0
2021,66.86,29.33,3.3,0.26,0.25,0,0,0
2022,47.78,49.49,2.34,0.25,0.13,0,0,0
2023,75.56,18.01,5.98,0.23,0.22,0,0,0
