"Date","Windows","OS X","Unknown","Linux","Chrome OS","Android","iOS","Other"
2009,83.95,10.44,0.05,3.99,0,0,0,1.57
2010,91.12,7.89,0.05,0.87,0,0,0.06,0.01
2011,91.22,6.67,0.14,1.5,0,0.03,0.44,0
2012,91.61,6.92,0.03,0.88,0,0.19,0.36,0
2013,93.7,4.7,0.22,0.91,0,0.46,0,0
2014,90.46,5.76,2.36,0.96,0.21,0.24,0,0
2015,85.27,9.22,3.74,1.49,0.28,0,0,0
2016,82.26,8.82,7.36,1.32,0.24,0,0,0
2017,84.12,9.69,5.17,0.85,0.17,0,0,0
2018,78.71,13.55,6.69,0.81,0.24,0,0,0
2019,74.87,15.42,9.01,0.62,0.08,0,0,0
2020,76.15,17.71,4.95,0.88,0.31,0,0,0
2021,75.09,16.42,6.48,1.29,0.71,0,0,0
2022,78.22,12.11,6.6,1.51,1.55,0,0,0
2023,77.39,10.32,9.66,1.64,1,0,0,0
