"Date","Windows","OS X","Linux","Unknown","iOS","Android","Playstation","Chrome OS","Other"
2009,92.27,6.24,0.88,0.43,0,0,0.16,0,0.01
2010,90.04,8.31,0.77,0.12,0.39,0,0.33,0,0.03
2011,85.79,11.26,0.99,0.08,1.59,0.07,0.2,0,0.02
2012,83.93,11.68,1.35,0.05,2.48,0.33,0.08,0,0.1
2013,85.15,13.41,1.2,0.02,0,0.22,0,0,0
2014,82.82,15.15,1.31,0.59,0,0.11,0,0.01,0
2015,79.15,17.85,1.82,1.12,0,0,0,0.04,0.01
2016,69.8,25.87,1.33,2.97,0,0,0,0.02,0
2017,70.15,28.08,0.87,0.81,0,0,0,0.08,0
2018,64.11,31.57,0.95,3.28,0,0,0,0.09,0
2019,60.86,36.19,0.92,1.99,0,0,0,0.04,0
2020,61.34,36.79,0.96,0.87,0,0,0,0.04,0
2021,66.09,30.18,1.25,2.32,0,0,0,0.16,0
2022,56.37,41.14,1.17,1.16,0,0,0,0.15,0
2023,57.66,38.71,1.24,2.21,0,0,0,0.17,0.01
