"Date","iOS","Android","Windows","Samsung","BlackBerry OS","Series 40","Linux","Playstation","SymbianOS","Unknown","Other"
2012,67.2,30.86,0.4,0.08,0.47,0.31,0.05,0.02,0.33,0.05,0.21
2013,61.22,37.16,0.4,0.04,0.28,0.4,0.13,0.02,0.15,0.07,0.15
2014,47.74,51.25,0.66,0.02,0.08,0.04,0.06,0.06,0.02,0.04,0.03
2015,48.22,50.54,1,0.01,0.05,0.01,0.08,0.05,0.02,0.01,0.02
2016,48.55,50.6,0.64,0.06,0.05,0,0.02,0.06,0,0.02,0.01
2017,45.6,53.52,0.7,0.1,0.03,0,0,0.01,0,0.02,0.02
2018,43.47,55.86,0.29,0.36,0.01,0,0,0,0,0,0
2019,41.79,57.96,0.13,0.09,0,0,0,0,0,0.01,0
2020,35.99,63.78,0.05,0.16,0,0,0,0,0,0.01,0
2021,41.58,57.81,0,0.58,0,0,0,0,0,0.02,0
2022,62.77,36.84,0.01,0.38,0,0,0,0,0,0,0
2023,69.42,30.15,0.06,0.31,0.02,0,0.01,0,0.01,0.01,0.02
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
