"Date","Android","iOS","SymbianOS","Unknown","Series 40","Nokia Unknown","BlackBerry OS","Windows","Linux","Samsung","LG","Sony Ericsson","bada","MeeGo","Other"
2012,15.66,28.41,40.99,1.72,7.96,0,4.06,0.19,0.08,0.29,0.03,0.31,0.12,0.09,0.1
2013,29.55,32.71,25.3,0.81,5.24,0.21,3.84,1.15,0.67,0.23,0.03,0.09,0.08,0.07,0.04
2014,48.29,24.77,12.68,1.47,6.16,2.08,2.29,1.53,0.45,0.11,0.06,0.03,0.03,0.02,0.03
2015,66.19,18.83,3.75,3.52,2.28,2.81,1.01,1.08,0.33,0.04,0.13,0,0.01,0.01,0.02
2016,67.65,22.33,0.48,6.44,0.08,0.94,0.53,0.79,0.59,0.06,0.08,0,0,0,0.03
2017,64.18,21.43,0.12,12.28,0.03,0.76,0.24,0.42,0.28,0.08,0.14,0,0,0,0.03
2018,66.73,21.2,0.06,11.41,0.04,0.06,0.08,0.16,0.01,0.09,0.13,0,0,0,0.02
2019,76.02,23.52,0.01,0.17,0.03,0.04,0.03,0.07,0.01,0.11,0,0,0,0,0.01
2020,71.8,27.96,0,0.05,0,0.01,0.02,0.01,0.01,0.12,0,0,0,0,0
2021,71.31,28.29,0,0.03,0,0,0.02,0,0.02,0.33,0,0,0,0,0
2022,72.77,26.92,0,0.02,0,0,0.01,0,0,0.27,0,0,0,0,0.01
2023,76.43,23.32,0,0.01,0,0,0,0,0,0.22,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
