"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,96.8,1.93,1,0.27,0,0,0,0
2010,97.05,2.39,0.22,0.25,0.09,0,0,0
2011,94.97,4.14,0.11,0.32,0.41,0.04,0,0
2012,93.32,5.09,0.12,0.41,0.8,0.2,0,0.07
2013,94.15,4.8,0.04,0.57,0,0.41,0.01,0.01
2014,93.61,5.19,0.39,0.53,0,0.11,0.18,0
2015,92.45,4.49,2.28,0.73,0,0,0.05,0
2016,89.18,4.64,5.46,0.64,0,0,0.08,0
2017,91.75,4.71,2.81,0.66,0,0,0.07,0
2018,91.57,4.01,3.75,0.58,0,0,0.08,0
2019,90.01,4.58,4.75,0.61,0,0,0.06,0
2020,90.43,5.39,3.15,0.93,0,0,0.1,0
2021,86.05,4.85,7.65,1.39,0,0,0.06,0
2022,74.6,12.79,10.72,1.81,0,0,0.08,0
2023,70.11,16.22,12,1.58,0,0,0.09,0
