"Date","Android","iOS","SymbianOS","Series 40","Unknown","Nokia Unknown","Samsung","Windows","Linux","Sony Ericsson","BlackBerry OS","bada","MeeGo","LG","Other"
2012,17.44,23.62,31.69,16.35,3.64,0,2.79,0.89,0.11,1.25,0.45,1.04,0.51,0.02,0.19
2013,27.86,18.42,22.04,21.46,3.87,0.12,2.82,0.72,0.54,0.94,0.35,0.43,0.32,0.07,0.05
2014,49.75,18.9,10.51,14.1,1.83,0.81,1.49,1.02,0.44,0.24,0.24,0.34,0.22,0.09,0.02
2015,70.52,14.43,4.52,4.69,1.54,2.46,0.41,0.71,0.25,0.09,0.16,0.08,0.09,0.04,0.02
2016,77.77,12.65,2.47,1.8,1.73,2.37,0.3,0.43,0.24,0.02,0.11,0.04,0.02,0.03,0.01
2017,82.83,11.46,1.21,0.85,2.01,1.1,0.09,0.26,0.08,0.02,0.06,0.01,0.01,0.01,0.01
2018,93.38,5.21,0.36,0.17,0.48,0.17,0.07,0.11,0.02,0,0.03,0,0,0,0
2019,92.86,6.44,0.18,0.13,0.07,0.17,0.05,0.05,0.02,0,0.02,0,0,0,0
2020,90.62,8.99,0.07,0.06,0.04,0.1,0.07,0.03,0.01,0,0,0,0,0,0.01
2021,88.78,10.73,0.07,0.07,0.04,0.13,0.12,0.01,0.03,0,0,0,0,0,0
2022,79.7,19.93,0.02,0.04,0.05,0.09,0.13,0.01,0.02,0,0.01,0,0,0,0.01
2023,80.89,18.93,0.01,0.02,0.03,0.04,0.05,0,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
