"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Playstation","Android","","BlackBerry OS","Other"
2009,93.73,5.2,0.62,0.37,0,0,0.08,0,0,0,0
2010,93.33,5.37,0.36,0.52,0.2,0,0.21,0,0,0,0.01
2011,90.33,7.65,0.08,0.27,1.28,0,0.32,0.04,0,0.02,0.02
2012,85.76,10.84,0.06,0.36,2.03,0,0.06,0.27,0.46,0.13,0.03
2013,86.48,12.62,0.09,0.59,0,0.08,0,0.14,0,0,0
2014,85.42,12.24,0.83,0.85,0,0.49,0,0.16,0,0,0
2015,78.9,17.23,1.98,1.12,0,0.77,0,0,0,0,0
2016,70.55,21.02,6.12,1.2,0,1.11,0,0,0,0,0.01
2017,69.72,23.85,4.69,0.58,0,1.15,0,0,0,0,0
2018,70.41,21.95,6.28,0.44,0,0.92,0,0,0,0,0
2019,70.28,19.84,8.22,0.94,0,0.72,0,0,0,0,0
2020,66.63,22.34,8.97,0.49,0,1.57,0,0,0,0,0
2021,65.84,21.45,10.58,0.49,0,1.63,0,0,0,0,0
2022,57.74,33.66,5.62,1.76,0,1.21,0,0,0,0,0
2023,47.51,45.74,5.33,0.31,0,1.1,0,0,0,0,0
