"Date","Android","iOS","BlackBerry OS","Linux","Windows","Samsung","SymbianOS","Playstation","Unknown","Nintendo","Series 40","Other"
2012,13.59,66.66,17.77,0.11,0.14,0,0.05,0.15,0.05,1.03,0.17,0.27
2013,21.56,58.95,10.73,5.62,0.47,0.01,1.46,0.22,0.36,0.23,0.26,0.14
2014,40.53,43.76,9.93,4.12,0.85,0.02,0.31,0.14,0.17,0.01,0.08,0.08
2015,53.66,39.1,1.99,3.46,1.62,0.01,0.03,0.07,0.02,0,0.02,0.02
2016,59.2,37.59,1.54,0.11,1.31,0,0.03,0.12,0.04,0,0.02,0.02
2017,62.65,36.23,0.34,0.1,0.62,0.01,0,0.02,0.01,0,0,0.01
2018,66.99,32.17,0.07,0.02,0.21,0.5,0,0.01,0.02,0,0,0
2019,55.82,44,0.01,0,0.09,0.07,0,0,0,0,0,0
2020,73.24,25.58,1,0,0.01,0.15,0,0,0.01,0,0,0
2021,70.22,29.25,0.11,0,0.06,0.37,0,0,0,0,0,0
2022,52.84,46.66,0,0,0,0.49,0,0,0.01,0,0,0
2023,50.12,49.05,0,0,0,0.83,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
