"Date","Android","iOS","Series 40","Windows","SymbianOS","BlackBerry OS","Samsung","Unknown","Nokia Unknown","Sony Ericsson","Linux","bada","LG","Other"
2012,22,45.19,9.51,1.45,12.25,1.68,2.58,3.18,0,1.2,0.2,0.29,0.12,0.34
2013,29.38,40.97,10.33,2.2,6.69,1.82,2.9,3.8,0.02,0.79,0.27,0.32,0.37,0.16
2014,44.66,37.17,5.77,3.14,2.81,1.84,1.49,1.82,0.1,0.39,0.32,0.2,0.22,0.08
2015,55.44,31.94,3.35,3.39,1.29,1.66,0.76,0.77,0.73,0.14,0.2,0.15,0.12,0.05
2016,65.24,26.59,1.76,2.83,0.65,0.65,0.58,0.51,0.79,0.08,0.05,0.12,0.09,0.04
2017,65.69,30.57,0.57,1.74,0.2,0.29,0.27,0.2,0.34,0.02,0.02,0.05,0.03,0.01
2018,64.82,33.45,0.19,0.83,0.04,0.14,0.31,0.04,0.13,0,0.02,0.01,0.01,0.01
2019,66.76,32.58,0.03,0.3,0.02,0.07,0.16,0.01,0.04,0,0.02,0,0,0
2020,63.56,35.95,0.01,0.09,0.01,0.04,0.28,0.02,0.02,0,0.02,0,0,0
2021,56.46,43.28,0,0.01,0,0.01,0.23,0,0,0,0,0,0,0
2022,48.38,51.41,0,0,0,0,0.2,0.01,0,0,0,0,0,0
2023,45.38,54.39,0,0.01,0,0,0.21,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
