"Date","Android","iOS","Unknown","Series 40","Samsung","Sony Ericsson","SymbianOS","Windows","Nokia Unknown","Linux","BlackBerry OS","LG","KaiOS","Playstation","bada","MeeGo","Tizen","Other"
2012,20.3,30.97,5.96,20.56,4.23,6.05,8.79,1.31,0,0.1,0.24,0.13,0,0.09,0.82,0.27,0,0.18
2013,36.42,12.67,7.81,18.36,6.52,9.05,5.95,1.17,0.13,0.2,0.22,1.12,0,0.02,0.25,0.08,0,0.03
2014,64.61,19.34,3.32,5.27,1.43,0.92,0.91,2.11,0.48,0.66,0.36,0.32,0,0.1,0.12,0.03,0,0.01
2015,72.14,10.58,9.5,2.08,0.65,0.14,0.33,1.32,1.15,1.44,0.37,0.08,0,0.13,0.09,0.01,0,0
2016,77.69,9.35,4.51,1.85,0.84,0.1,0.29,1.25,1.8,1.34,0.46,0.09,0,0.3,0.1,0.01,0,0
2017,81.38,9.61,4.18,1.1,0.59,0.05,0.2,0.78,1.06,0.31,0.22,0.1,0,0.3,0.07,0.01,0.04,0
2018,84.36,9.51,3.05,0.64,0.4,0.03,0.14,0.56,0.53,0.22,0.12,0.05,0,0.31,0.03,0,0.05,0.01
2019,83.41,13.57,1.35,0.23,0.27,0.03,0.07,0.32,0.29,0.23,0.07,0.02,0,0.1,0.01,0,0.04,0
2020,83.37,14.6,1.05,0.13,0.18,0.01,0.03,0.18,0.13,0.13,0.08,0.01,0,0.08,0,0,0.01,0
2021,81.09,17.53,0.66,0.08,0.17,0.01,0.01,0.16,0.07,0.05,0.07,0,0.02,0.05,0,0,0.02,0
2022,82.8,16.4,0.37,0.02,0.1,0,0,0.06,0.01,0.03,0.03,0,0.15,0.02,0,0,0,0
2023,82.92,16.26,0.29,0.01,0.08,0,0,0.04,0.01,0.01,0.01,0,0.37,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
