"Date","Android","iOS","Windows","Series 40","SymbianOS","BlackBerry OS","Nokia Unknown","Unknown","Samsung","Linux","LG","Motorola","MeeGo","Sony Ericsson","Other"
2012,55.22,20.51,1.08,6.35,9.42,3.09,0,1.93,0.69,0.21,0,0.36,0.62,0.24,0.27
2013,58.59,16.62,4.6,7.73,5.75,2.75,0,1.96,0.64,0.15,0.24,0.4,0.31,0.18,0.1
2014,70.34,11.78,5.89,6.75,1.82,1.69,0.05,0.76,0.34,0.1,0.18,0.13,0.08,0.04,0.05
2015,75.06,9.47,7.21,4.52,0.8,1.04,1.03,0.18,0.2,0.22,0.13,0.05,0.03,0.01,0.04
2016,82.49,8.32,5.92,1.56,0.25,0.35,0.68,0.12,0.09,0.12,0.06,0.01,0.01,0,0.02
2017,87.25,8.23,3.4,0.47,0.05,0.07,0.2,0.13,0.09,0.04,0.05,0,0,0,0.01
2018,88.69,9.24,1.63,0.13,0.01,0.02,0.04,0.07,0.12,0.02,0.02,0,0,0,0.01
2019,90.85,7.94,0.97,0.06,0.01,0.01,0.02,0.01,0.1,0.01,0,0,0,0,0.01
2020,91.42,8.2,0.21,0.02,0,0.01,0.01,0.02,0.1,0,0,0,0,0,0
2021,91.31,8.47,0.05,0.01,0,0,0.01,0.01,0.12,0.01,0,0,0,0,0
2022,91.48,8.31,0.03,0.02,0,0,0.01,0.01,0.13,0,0,0,0,0,0
2023,90.16,9.61,0.03,0.01,0,0,0.01,0.03,0.15,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
