"Date","iOS","Android","Unknown","Linux","Windows","Series 40","Nokia Unknown","SymbianOS","Samsung","BlackBerry OS","Playstation","Sony Ericsson","LG","KaiOS","Other"
2012,78.79,19,0.17,0.06,0.12,0.68,0,0.19,0.01,0.12,0.11,0,0,0,0.75
2013,62.4,30.94,1.66,1.11,0.43,0.82,0,1.11,0.05,0.61,0.08,0.46,0.04,0,0.28
2014,45.56,47.4,1.11,1.36,1.66,0.76,0.01,1.2,0.21,0.09,0.42,0.13,0.03,0,0.07
2015,28.93,63.26,1.63,1.67,1.45,0.51,0.64,0.61,0.57,0.21,0.18,0.26,0.08,0,0.02
2016,20.37,70.98,2.28,1.19,1.08,1.65,1.22,0.4,0.43,0.21,0.08,0.04,0.03,0,0.04
2017,23.21,73.22,1.05,0.24,0.38,0.86,0.71,0.17,0.03,0.03,0.06,0,0,0,0.01
2018,31.11,68.31,0.17,0.06,0.28,0.01,0.03,0,0.01,0,0.01,0,0,0,0.01
2019,30.26,69.46,0.01,0.01,0.19,0.02,0.02,0,0.02,0,0.01,0,0,0,0
2020,34.89,64.99,0,0,0.01,0,0,0,0.06,0,0.04,0,0,0.01,0
2021,37.59,61.74,0,0.01,0.01,0,0,0,0.55,0,0,0,0,0.1,0
2022,84.27,15.61,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0
2023,92.66,7.29,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
