"Date","Windows","OS X","Linux","Unknown","iOS","Android","Playstation","Chrome OS","SunOS","Other"
2009,93.02,5.49,1.16,0.21,0,0,0.11,0,0,0.01
2010,90.6,7.63,1.42,0.09,0.1,0,0.15,0,0,0.01
2011,89.09,8.66,1.41,0.11,0.54,0.07,0.11,0,0,0.01
2012,87.62,9.5,1.55,0.05,1,0.18,0.05,0,0.04,0.01
2013,86.92,11.02,1.67,0.03,0,0.33,0,0.01,0.02,0
2014,85.97,11.8,1.85,0.24,0,0.1,0,0.03,0.02,0
2015,84.23,12.64,2.38,0.68,0,0,0,0.05,0.03,0.01
2016,81.77,13.85,2.19,2.07,0,0,0,0.08,0.04,0.01
2017,80.32,16.31,2.08,1.14,0,0,0,0.1,0.05,0.01
2018,78.34,16.59,2.01,2.85,0,0,0,0.1,0.1,0.01
2019,77.68,17.62,1.84,2.71,0,0,0,0.09,0.06,0.01
2020,76.51,20.54,1.84,0.99,0,0,0,0.12,0.01,0
2021,76.67,15.74,5.51,1.82,0,0,0,0.25,0,0.01
2022,80.02,15.84,2.03,1.68,0,0,0,0.42,0,0.01
2023,78.46,15.56,2.39,3.18,0,0,0,0.4,0,0.01
