"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,90.38,8.61,0.69,0.24,0,0,0,0.07,0.02
2010,87.16,11.56,0.73,0.1,0.34,0,0,0.09,0.02
2011,82.33,14.91,0.68,0.06,1.85,0,0.08,0.08,0.02
2012,80.22,15.8,0.65,0.05,2.99,0,0.23,0.03,0.03
2013,79.87,18.51,1.11,0.04,0,0.01,0.44,0,0.01
2014,76.47,22.08,0.91,0.26,0,0.16,0.1,0,0.01
2015,76.47,21.19,1.12,0.88,0,0.32,0,0,0.03
2016,72.73,23.15,1.22,2.46,0,0.43,0,0,0.01
2017,71.91,25.79,0.92,0.91,0,0.46,0,0,0.01
2018,71.06,25.27,0.9,2.15,0,0.61,0,0,0.01
2019,68.97,25.35,0.99,3.94,0,0.74,0,0,0
2020,64.8,31.86,1.07,1.39,0,0.87,0,0,0
2021,64.2,31.52,1.53,1.8,0,0.93,0,0,0.02
2022,67.45,28.08,1.51,1.44,0,1.49,0,0,0.02
2023,63.9,30.65,1.66,2.66,0,1.11,0,0,0.02
