"Date","iOS","Android","Windows","Samsung","Unknown","Series 40","SymbianOS","BlackBerry OS","Linux","Nokia Unknown","Nintendo 3DS","Playstation","Other"
2012,78.02,19.66,0.6,0.07,0.18,0.28,0.51,0.18,0.06,0,0.13,0.05,0.24
2013,76.91,21.15,1.01,0.06,0.12,0.18,0.2,0.13,0.07,0,0.06,0.02,0.1
2014,71.56,26.73,1.08,0.05,0.13,0.1,0.06,0.11,0.08,0.01,0.02,0.03,0.04
2015,67.15,30.63,1.6,0.05,0.09,0.07,0.08,0.14,0.09,0.02,0.01,0.02,0.03
2016,66.53,31.77,1.04,0.13,0.24,0.05,0.04,0.07,0.04,0.07,0.01,0.02,0.01
2017,64.24,33.8,0.5,0.11,0.74,0.37,0.05,0.03,0.02,0.11,0.01,0.01,0.01
2018,63.74,35.18,0.24,0.16,0.53,0.06,0.03,0.01,0.01,0.02,0,0.01,0.01
2019,62.24,37.34,0.15,0.2,0.04,0,0,0.01,0.01,0,0,0,0
2020,57.26,42.42,0.05,0.23,0.03,0,0,0,0,0,0,0,0
2021,58.74,40.11,0.03,1.1,0.01,0,0,0,0,0,0,0,0
2022,59.52,39.24,0.06,1.16,0.01,0,0,0.01,0,0,0,0,0.01
2023,61.58,37.49,0.06,0.81,0.01,0,0,0.01,0.01,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
