"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Playstation","","Other"
2009,94.94,4.3,0.22,0.34,0,0,0,0.18,0,0.02
2010,93.32,5.67,0.07,0.36,0.27,0,0,0.27,0,0.03
2011,89.66,7.98,0.04,0.33,1.65,0,0.08,0.21,0,0.04
2012,87.27,8.93,0.05,0.42,2.68,0,0.31,0.15,0.11,0.08
2013,88.6,10.51,0.05,0.51,0,0.03,0.3,0,0,0
2014,86.3,12.23,0.41,0.72,0,0.26,0.09,0,0,0
2015,83.06,13.38,2.1,0.9,0,0.55,0,0,0,0.01
2016,79.75,13.35,5.45,0.85,0,0.6,0,0,0,0
2017,80.18,15.77,2.08,1.37,0,0.6,0,0,0,0
2018,77.79,16.11,4.62,0.72,0,0.76,0,0,0,0
2019,76.26,16.41,5.95,0.58,0,0.8,0,0,0,0
2020,74.46,20.38,3.34,0.84,0,0.99,0,0,0,0
2021,72.69,21.74,3.25,0.6,0,1.72,0,0,0,0
2022,67,25.05,3.08,0.89,0,3.99,0,0,0,0
2023,67.35,23.37,5.73,1.13,0,2.42,0,0,0,0
