"Date","Android","iOS","Series 40","SymbianOS","Windows","Samsung","BlackBerry OS","Nokia Unknown","Unknown","bada","Linux","Sony Ericsson","MeeGo","LG","Other"
2012,23.86,16.53,28.66,19.79,0.96,2.22,2.07,0,4.2,0.64,0.17,0.57,0.23,0.03,0.08
2013,36.14,19.2,21.26,10.79,1.91,3.71,2.22,0.05,3.7,0.42,0.13,0.25,0.12,0.08,0.02
2014,58.86,23.31,8.15,3.32,2.13,1.35,1.28,0.17,1.04,0.16,0.07,0.06,0.06,0.03,0.01
2015,71.03,18.53,4.35,1.53,1.6,0.62,0.7,1.06,0.19,0.11,0.2,0.01,0.02,0.02,0.01
2016,72.14,18.9,3.4,1.29,1.24,0.63,0.57,1.27,0.17,0.12,0.22,0.01,0.01,0.02,0.01
2017,79.11,15.36,1.93,0.8,0.69,0.52,0.31,0.83,0.23,0.12,0.04,0,0,0.04,0.01
2018,84.55,11.92,1.3,0.37,0.47,0.46,0.14,0.53,0.12,0.08,0.04,0,0,0,0.01
2019,85.31,12.87,0.43,0.11,0.54,0.4,0.04,0.2,0.02,0.02,0.03,0,0,0,0.02
2020,85.15,14.03,0.08,0.03,0.16,0.45,0.01,0.03,0.02,0,0.01,0,0,0,0.01
2021,83.92,15.6,0.02,0,0.01,0.42,0,0.01,0,0,0,0,0,0,0
2022,81.09,17.96,0.01,0,0,0.92,0,0.01,0,0,0,0,0,0,0
2023,81.46,18.03,0.01,0.01,0.02,0.44,0.01,0,0,0,0.01,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
