"Date","Windows","OS X","Unknown","Linux","Android","Chrome OS","iOS","Other"
2009,99.07,0.51,0.08,0.33,0,0,0,0.01
2010,98.99,0.51,0.03,0.45,0,0,0.01,0.01
2011,98.58,0.71,0.04,0.57,0.01,0,0.09,0.01
2012,98,0.96,0.02,0.82,0.04,0,0.16,0.01
2013,97.68,1.22,0.01,0.9,0.18,0,0,0
2014,97.11,1.44,0.3,1.07,0.06,0.02,0,0
2015,96.19,1.63,0.82,1.32,0,0.05,0,0
2016,93.71,1.82,2.64,1.77,0,0.06,0,0
2017,92.61,2.63,3.29,1.4,0,0.07,0,0
2018,87.15,3.02,8.29,1.44,0,0.1,0,0
2019,85.57,3.45,9.65,1.24,0,0.09,0,0
2020,87.01,5.12,6.52,1.23,0,0.12,0,0
2021,86.3,4.18,7.11,2.2,0,0.21,0,0
2022,87.76,3.68,4.68,3.51,0,0.35,0,0.02
2023,82.97,4.24,8.63,3.65,0,0.49,0,0.02
