"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","Unknown","BlackBerry OS","Sony Ericsson","LG","Linux","Nokia Unknown","bada","Other"
2012,46.72,30.53,1.25,6.17,8.31,1.75,1.81,0.65,1.82,0.09,0.26,0,0.35,0.28
2013,55.93,27.08,2.36,4.43,4.97,1.24,1.57,0.54,0.84,0.35,0.31,0,0.24,0.14
2014,70.44,20.15,3.51,1.92,1.5,0.59,0.46,0.45,0.32,0.28,0.18,0.01,0.1,0.08
2015,78.15,14.95,4.16,0.78,0.59,0.3,0.21,0.22,0.14,0.18,0.17,0.06,0.05,0.05
2016,82.96,12.59,3.48,0.19,0.19,0.24,0.07,0.07,0.02,0.07,0.03,0.04,0.02,0.01
2017,86.82,10.78,2.09,0.05,0.04,0.09,0.04,0.03,0.01,0.01,0.01,0.02,0,0
2018,88.83,9.8,1.14,0.02,0.03,0.1,0.02,0.01,0,0.01,0.02,0.04,0,0
2019,90.81,8.74,0.33,0.01,0,0.05,0.01,0.01,0,0,0.01,0.03,0,0
2020,90.96,8.85,0.11,0,0,0.06,0,0,0,0,0,0,0,0
2021,89.88,9.85,0.05,0,0,0.21,0,0,0,0,0,0,0,0
2022,88.2,11.36,0.02,0,0,0.41,0.01,0,0,0,0,0,0,0
2023,84.49,14.42,0.07,0.01,0.01,0.96,0.01,0.01,0,0,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
