"Date","Android","Unknown","Series 40","SymbianOS","iOS","Nokia Unknown","Windows","Samsung","Linux","Sony Ericsson","BlackBerry OS","LG","Tizen","bada","Other"
2012,7.02,11.31,34.54,36.21,2.25,0,1.08,4.34,0.12,2.19,0.48,0.21,0,0.1,0.14
2013,19.97,13.31,35.35,22.5,1.7,0.22,0.47,3.32,0.95,1.46,0.34,0.3,0,0.06,0.08
2014,38.39,14.02,27.4,12.37,1.68,1.1,0.84,1.94,1.03,0.69,0.24,0.23,0,0.04,0.03
2015,56.07,14.53,15.48,5.36,1.41,3.24,1.3,0.84,1.15,0.2,0.11,0.13,0.12,0.03,0.04
2016,68.89,13.92,6.65,2.34,1.45,3.41,1.37,0.44,1.12,0.06,0.05,0.08,0.17,0.01,0.02
2017,76.17,13.72,3.49,1.03,1.76,2.1,1.04,0.28,0.18,0.02,0.04,0.04,0.12,0.01,0.01
2018,87.59,8.07,1.06,0.43,1.43,0.47,0.54,0.18,0.1,0.02,0.02,0.02,0.07,0,0.01
2019,95.84,1.97,0.26,0.1,1.24,0.18,0.21,0.09,0.05,0,0.01,0,0.04,0,0
2020,95.61,0.88,0.11,0.04,2.97,0.1,0.12,0.09,0.03,0,0.01,0,0.02,0,0
2021,95.42,0.67,0.07,0.03,3.55,0.07,0.02,0.14,0.01,0,0,0,0.01,0,0.01
2022,95.5,0.3,0.03,0.01,3.95,0.04,0.01,0.14,0.01,0,0,0,0,0,0.01
2023,95.38,0.18,0.02,0.01,4.24,0.04,0.01,0.1,0.01,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
