"Date","iOS","Android","Windows","Samsung","Series 40","BlackBerry OS","SymbianOS","Unknown","Playstation","Linux","Nokia Unknown","Nintendo 3DS","bada","Other"
2012,68.25,25.59,1.12,0.4,1.41,0.92,1.04,0.13,0.39,0.06,0,0.23,0.22,0.23
2013,65.08,29.11,2.1,0.65,1.19,0.49,0.6,0.17,0.16,0.06,0,0.13,0.1,0.15
2014,58.04,38.12,3,0.05,0.24,0.22,0.07,0.11,0.07,0.03,0.01,0.01,0.02,0.03
2015,54.45,41.11,3.62,0.04,0.14,0.23,0.05,0.04,0.1,0.08,0.05,0.02,0.01,0.04
2016,50.66,46.05,2.73,0.13,0.06,0.13,0.02,0.05,0.05,0.04,0.06,0.01,0,0.01
2017,46.02,52.13,1.36,0.22,0.03,0.07,0.01,0.08,0.02,0.02,0.03,0.01,0,0
2018,45.43,53.4,0.65,0.35,0.02,0.02,0,0.07,0.01,0.01,0.02,0.01,0,0
2019,41.01,58.43,0.23,0.26,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0
2020,38.41,61.26,0.05,0.23,0.01,0,0,0.01,0,0,0.02,0,0,0
2021,41.76,57.49,0.02,0.7,0,0,0,0.01,0,0,0.01,0,0,0
2022,45.48,53.75,0.04,0.71,0,0,0,0.01,0,0,0.01,0,0,0
2023,49.16,50.13,0.05,0.61,0,0,0,0.01,0,0.02,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
