"Date","Android","Unknown","iOS","LG","Samsung","Linux","Series 40","SymbianOS","Windows","Nokia Unknown","BlackBerry OS","Sony Ericsson","bada","Playstation","Other"
2012,12.88,16.21,9.34,0.42,14.76,0.14,14.3,22.02,1.94,0,2.03,3.78,1.36,0.08,0.74
2013,18.15,17.99,4.66,9.57,23.27,0.35,11.5,9.2,0.8,0.05,0.6,3.01,0.52,0.05,0.27
2014,43.67,15.11,4.37,6.8,14.87,0.62,7.08,3.58,1.39,0.17,0.61,1.17,0.44,0.06,0.07
2015,64.37,13.07,2.44,3.73,5.23,5.48,1.83,0.88,1.22,0.75,0.45,0.3,0.17,0.05,0.02
2016,68.46,13.51,1.62,3.43,2.85,6.38,0.91,0.33,1,0.88,0.33,0.13,0.12,0.03,0.03
2017,56.53,29.91,1.79,5.92,2.36,0.47,0.97,0.3,0.71,0.57,0.35,0.02,0.06,0.01,0.02
2018,68.54,21.15,2.43,4.23,1.22,0.29,1.1,0.25,0.36,0.19,0.2,0.01,0.01,0.01,0.01
2019,77.39,14.5,3.43,2.05,1.33,0.34,0.44,0.06,0.18,0.14,0.11,0.01,0,0,0.01
2020,87.47,5.84,5.46,0.54,0.34,0.1,0.07,0.01,0.05,0.02,0.07,0,0,0,0.02
2021,89.81,2.62,7.05,0.18,0.14,0.06,0.05,0.01,0.01,0,0.04,0,0,0,0.02
2022,90.68,1.75,7.26,0.06,0.09,0.08,0.04,0,0.01,0,0.02,0,0,0,0.01
2023,89.27,3.01,7.38,0.02,0.12,0.12,0.03,0,0,0.01,0.01,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
