"Date","Android","iOS","SymbianOS","Unknown","Series 40","BlackBerry OS","Windows","Nokia Unknown","Linux","Samsung","Sony Ericsson","bada","LG","Other"
2012,37.49,33.17,18.34,0.31,4.76,4.18,0.19,0,0.06,0.82,0.4,0.15,0,0.13
2013,55.65,25.96,9.34,0.7,3.15,2.85,0.98,0.02,0.6,0.37,0.17,0.12,0.02,0.06
2014,69.22,22.22,2.95,0.84,1.61,1.11,1.36,0.22,0.17,0.15,0.05,0.05,0.03,0.03
2015,75.05,18.55,0.8,1.82,0.47,0.77,1.28,0.83,0.35,0.04,0,0,0.02,0.02
2016,75.4,19,0.16,3.1,0.1,0.33,0.77,0.71,0.33,0.04,0,0,0.02,0.03
2017,71.5,21.18,0.06,6.16,0.02,0.07,0.25,0.62,0.05,0.04,0,0,0.03,0.03
2018,74.21,22.89,0.03,2.56,0.03,0.04,0.14,0.03,0,0.04,0,0,0.01,0.02
2019,76.46,23.34,0,0.05,0.03,0.01,0.03,0.01,0,0.07,0,0,0,0.01
2020,71.51,28.33,0,0.02,0,0,0,0,0,0.12,0,0,0,0
2021,68.84,30.83,0,0.01,0,0,0,0,0.01,0.28,0,0,0,0.01
2022,67.45,32.28,0,0,0,0,0,0,0,0.26,0,0,0,0
2023,70.25,29.5,0,0.01,0,0,0,0,0,0.23,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
