"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,96.37,2.57,0.06,1,0,0,0,0
2010,94.86,3.95,0.14,1,0,0.05,0,0
2011,94.34,3.5,0.04,1.49,0,0.56,0.06,0.01
2012,92.7,4.3,0.03,1.97,0,0.77,0.23,0.01
2013,92.63,5.32,0.05,1.37,0.02,0,0.62,0
2014,92.36,5.74,0.3,1.44,0.05,0,0.12,0
2015,91.35,4.73,1.76,2.09,0.05,0,0,0.01
2016,88.13,3.8,5.07,2.93,0.06,0,0,0
2017,87.72,6.22,3.69,2.06,0.3,0,0,0.01
2018,85.11,9.17,4,1.36,0.36,0,0,0
2019,83.68,7.78,7.57,0.87,0.1,0,0,0
2020,80.44,11.2,6.7,1.48,0.18,0,0,0
2021,77.52,3.68,15.87,2.69,0.24,0,0,0
2022,72.54,3.83,21.26,1.88,0.49,0,0,0
2023,66.14,2.54,28.56,1.7,0.95,0,0,0.1
