"Date","Android","Unknown","Series 40","Linux","iOS","SymbianOS","BlackBerry OS","Windows","Samsung","Nokia Unknown","Tizen","Sony Ericsson","LG","KaiOS","bada","Other"
2012,20.38,7.19,16.24,0.19,15.98,24.83,8.02,2.05,3.5,0,0,0.97,0.15,0,0.2,0.3
2013,26.23,17.19,19.28,1.37,8.94,11.89,5.67,0.69,5.76,0.17,0,1.36,1.09,0,0.26,0.11
2014,38.9,27.32,12.92,0.35,5.23,5.72,3.22,1.53,2.78,0.87,0,0.41,0.61,0,0.07,0.07
2015,46.89,37.68,4.44,4.29,1.12,1.19,1.65,0.79,0.98,0.74,0,0.09,0.09,0,0.02,0.03
2016,57.29,30,2.2,6.07,0.77,0.61,0.69,1.06,0.35,0.8,0,0.07,0.04,0,0.02,0.02
2017,44.58,49,2.4,0.4,1.33,0.42,0.42,0.62,0.28,0.46,0.02,0.05,0.01,0,0.01,0.01
2018,51.98,41.79,1.65,0.24,2.34,0.34,0.27,0.8,0.19,0.21,0.12,0.04,0.01,0,0,0.02
2019,68.96,25.9,0.47,0.21,3.51,0.16,0.08,0.4,0.08,0.06,0.12,0.02,0,0,0,0.02
2020,78.44,16.3,0.12,0.26,4.53,0.03,0.03,0.13,0.07,0.03,0.04,0.01,0,0.02,0,0.01
2021,79.23,12.29,0.76,0.07,5.77,0.01,0.02,0.03,0.07,0.02,1.7,0,0,0.02,0,0
2022,84.09,9.91,0.03,0.02,5.25,0,0.01,0.02,0.05,0.01,0.56,0,0,0.05,0,0
2023,84.48,10.7,0.02,0.02,4.33,0,0.04,0.01,0.04,0.01,0.01,0,0,0.32,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
