"Date","Android","Unknown","iOS","Series 40","Linux","Windows","SymbianOS","Nokia Unknown","Samsung","BlackBerry OS","LG","Sony Ericsson","bada","KaiOS","Playstation","Other"
2012,13.8,10.5,10.28,33.74,0.14,1.82,21.34,0,4.27,1.68,0.22,1.57,0.31,0,0.08,0.24
2013,20.02,17.79,4.99,34.09,0.36,1.26,9.78,0.45,5.71,1.55,2.34,1.41,0.14,0,0.02,0.09
2014,40.24,18.3,3.83,21.5,0.72,1.69,4.95,1.44,2.73,2.01,1.67,0.76,0.11,0,0.03,0.02
2015,59.92,14.93,1.9,5.32,10.2,2.11,1.09,1.72,0.66,1.3,0.62,0.13,0.04,0,0.02,0.01
2016,68.47,11.12,1.35,2.35,10.48,2.93,0.48,1.43,0.36,0.54,0.36,0.08,0.02,0,0.03,0.01
2017,65.3,23.59,2.8,2.21,1.02,1.91,0.32,1.35,0.26,0.4,0.77,0.03,0.02,0,0.02,0.01
2018,75.25,17.87,3.57,0.8,0.44,1.06,0.21,0.34,0.12,0.15,0.13,0.03,0,0,0.03,0.01
2019,79.84,12.94,4.85,0.62,0.43,0.71,0.07,0.21,0.04,0.12,0.13,0.01,0,0,0.01,0.01
2020,86.62,5.46,7,0.17,0.26,0.15,0.02,0.08,0.12,0.04,0.01,0,0,0.06,0.01,0
2021,87.14,3.08,9.36,0.05,0.09,0.02,0.02,0.04,0.06,0.02,0,0,0,0.11,0.01,0
2022,85.36,3.02,11.11,0.03,0.03,0.27,0,0.02,0.04,0.01,0.01,0,0,0.08,0.01,0
2023,83.62,4.55,11.31,0.03,0.04,0.14,0.01,0.02,0.04,0,0,0.01,0,0.13,0.02,0.1
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
