"Date","iOS","Android","BlackBerry OS","Linux","Windows","Samsung","Playstation","webOS","Other"
2012,88.32,9.27,1.99,0.03,0.09,0.01,0,0.18,0.11
2013,82.04,13.77,1.85,1.68,0.51,0,0,0.06,0.08
2014,78.02,16.33,2.81,2.3,0.48,0,0.03,0.01,0.02
2015,75.26,18.79,2.81,1.69,1.36,0,0.06,0,0.02
2016,74.09,22.65,2.09,0.13,0.98,0.03,0.02,0,0.01
2017,76.25,21.96,0.93,0.02,0.74,0.06,0,0,0.03
2018,80.42,18.81,0.34,0.02,0.33,0.06,0,0,0.01
2019,75.2,24.32,0.22,0.01,0.14,0.12,0,0,0
2020,67.62,32,0.08,0,0.13,0.16,0,0,0.01
2021,65.67,33.57,0.01,0,0.01,0.74,0,0,0
2022,91.81,8.01,0,0,0,0.18,0,0,0
2023,98.35,1.62,0,0,0,0.03,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
