"Date","Android","iOS","SymbianOS","Unknown","Series 40","Linux","Nokia Unknown","Samsung","Windows","Sony Ericsson","Playstation","BlackBerry OS","LG","MeeGo","Other"
2012,40.87,19.02,29.49,1.96,6.31,0.14,0,0.23,0.33,0.77,0.48,0.17,0.03,0.06,0.14
2013,57.79,23.23,13.58,1.19,2.99,0.22,0,0.17,0.23,0.23,0.14,0.13,0.02,0.02,0.06
2014,65.96,25.18,5.92,0.64,1.41,0.19,0.04,0.07,0.29,0.1,0.05,0.11,0.01,0.03,0.01
2015,71.64,20.6,2.42,1.26,0.67,2.42,0.5,0.03,0.26,0.03,0.05,0.09,0.01,0.01,0
2016,78.32,15.55,0.78,1.73,0.35,2.35,0.57,0.09,0.14,0.02,0.04,0.04,0.01,0,0.01
2017,72.7,21.36,0.3,4.33,0.29,0.35,0.39,0.03,0.11,0.01,0.04,0.04,0.04,0,0.01
2018,74.66,22.53,0.14,1.87,0.4,0.15,0.01,0.04,0.15,0,0.02,0.01,0,0,0.01
2019,73.78,25.62,0.08,0.13,0.03,0.07,0,0.2,0.06,0,0.02,0,0,0,0
2020,71.72,27.66,0,0.02,0,0.02,0,0.52,0.03,0,0.01,0,0,0,0
2021,70.27,28.87,0,0.02,0,0.01,0,0.83,0,0,0,0,0,0,0
2022,67.73,31.32,0,0.01,0,0.01,0,0.92,0.01,0,0.01,0,0,0,0
2023,66.87,31.71,0.02,0.02,0.01,0.04,0,1.16,0.11,0,0.01,0.04,0,0.01,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
