"Date","Android","iOS","Unknown","Windows","Series 40","Linux","SymbianOS","Samsung","Sony Ericsson","BlackBerry OS","LG","Nokia Unknown","Tizen","Playstation","Other"
2012,41.89,35.41,4.09,0.38,4,0.41,5.41,1.31,3.96,2.46,0.2,0,0,0.04,0.46
2013,54.01,25.28,4.7,0.9,3.39,0.43,3.25,1.56,3.26,1.38,1.65,0,0,0.03,0.16
2014,75.03,14.47,1.78,1.82,1.66,0.33,1.2,0.85,0.9,0.99,0.87,0.02,0,0.04,0.05
2015,82.95,9.13,1.07,1.84,1.13,1.36,0.65,0.48,0.22,0.53,0.4,0.18,0,0.03,0.03
2016,88.13,5.98,1.16,1.27,0.58,1.46,0.26,0.45,0.1,0.13,0.27,0.18,0,0.03,0.02
2017,92.32,4.55,1.28,0.6,0.16,0.36,0.08,0.27,0.03,0.04,0.12,0.08,0.07,0.02,0.01
2018,92.86,5.06,0.88,0.33,0.05,0.13,0.02,0.28,0.02,0.02,0.05,0.03,0.24,0.02,0
2019,93.92,5.21,0.13,0.26,0.02,0.06,0.01,0.24,0.01,0.01,0.01,0,0.11,0.01,0
2020,94.03,5.53,0.03,0.07,0,0.01,0,0.25,0,0,0,0,0.07,0.01,0
2021,94.59,5.03,0.01,0.01,0,0.01,0,0.25,0,0.06,0,0,0.02,0,0
2022,94.06,5.53,0.02,0.01,0,0,0,0.34,0,0.02,0,0,0.01,0,0
2023,92.76,6.77,0.02,0.03,0,0.01,0.01,0.37,0,0.02,0,0,0.01,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
