"Date","Windows","OS X","Unknown","Chrome OS","Linux","Android","Other"
2013,87.08,12.28,0.02,0,0.21,0.41,0
2014,84.03,14.85,0.21,0.44,0.45,0.03,0
2015,79.33,18.28,1.15,0.37,0.86,0,0
2016,79.78,15.58,3.12,0.72,0.79,0,0
2017,78.57,18.4,2.09,0.4,0.54,0,0
2018,72.12,23.06,3.95,0.49,0.39,0,0
2019,69.25,24.39,5.03,0.71,0.62,0,0
2020,74.71,22.03,2.15,0.82,0.29,0,0
2021,70.59,24.29,1.76,1.96,1.39,0,0
2022,71.36,21.42,2.46,3.63,1.13,0,0
2023,66.46,25.15,3.89,4.03,0.47,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0
