"Date","Android","iOS","BlackBerry OS","Windows","Samsung","Linux","Playstation","Unknown","Other"
2013,35.31,58.3,4.78,0.78,0.02,0.49,0.01,0.12,0.2
2014,39.91,55.79,2.95,0.68,0,0.5,0.03,0.02,0.11
2015,44.93,50.57,2.42,0.92,0.01,0.8,0.15,0.03,0.17
2016,52.01,44.52,2.11,1.11,0.02,0.12,0.07,0.02,0.02
2017,56.12,42.32,0.35,0.33,0.82,0.01,0.03,0.01,0
2018,57.39,41.82,0.16,0.37,0.24,0.01,0.01,0,0
2019,58.6,40.71,0,0.08,0.48,0,0.13,0,0
2020,66.15,33.69,0,0,0.08,0,0.06,0,0
2021,58.67,40.79,0,0,0.52,0,0.02,0,0
2022,52.81,46.58,0,0,0.48,0,0.13,0,0
2023,50.78,48.74,0,0,0.47,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
