"Date","Android","iOS","Windows","Linux","BlackBerry OS","Series 40","Playstation","Samsung","Unknown","Nokia Unknown","Nintendo 3DS","SymbianOS","webOS","Nintendo","Other"
2012,24.98,64.9,0.31,0.12,4.14,1.21,2.54,0.27,0.14,0,0.58,0.31,0.29,0.14,0.07
2013,33.86,54.75,0.85,4.11,3.32,1.23,0.7,0.29,0.21,0,0.17,0.14,0.12,0.08,0.17
2014,45.26,45.51,2.21,3.53,2.04,0.71,0.28,0.12,0.1,0.02,0.01,0.06,0.04,0.05,0.05
2015,55.42,37.66,2.69,2.43,1.04,0.23,0.17,0.02,0.1,0.16,0.01,0.02,0.02,0.02,0.02
2016,62.03,34.92,1.9,0.2,0.52,0.08,0.09,0.07,0.08,0.08,0.01,0,0.01,0,0
2017,68.19,30.91,0.63,0.04,0.1,0.01,0.02,0.04,0.03,0.01,0,0,0.01,0,0
2018,65.41,34.19,0.25,0.02,0.05,0,0.01,0.05,0.02,0,0,0,0,0,0
2019,65.55,34.29,0.08,0,0.01,0,0.01,0.06,0,0,0,0,0,0,0
2020,67.27,32.62,0.01,0,0,0,0,0.09,0,0,0,0,0,0,0
2021,62.58,37.18,0,0,0,0,0,0.24,0,0,0,0,0,0,0
2022,49.7,50,0,0,0,0,0.01,0.28,0,0,0,0,0,0,0
2023,31.91,67.86,0.03,0.01,0.01,0,0,0.15,0,0,0,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
