"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","FreeBSD","Other"
2009,95.49,2.68,0.14,1.66,0,0,0,0,0.03
2010,95.87,2.97,0.05,1.02,0.04,0,0,0,0.05
2011,96.22,2.61,0.04,0.79,0.25,0.05,0,0,0.03
2012,94.77,3.45,0.05,0.82,0.74,0.14,0,0,0.04
2013,95.41,3.89,0.02,0.54,0,0.14,0,0,0
2014,94.36,4.04,0.25,1.3,0,0.04,0.01,0,0
2015,93.7,4.18,1.41,0.68,0,0,0.02,0,0
2016,89.88,5.47,3.98,0.63,0,0,0.04,0,0
2017,89.73,7.25,2.37,0.62,0,0,0.03,0,0
2018,84.85,10.24,4.31,0.51,0,0,0.09,0,0
2019,83.4,11.15,5.05,0.37,0,0,0.02,0.02,0
2020,82.06,13.13,4.28,0.46,0,0,0.07,0.01,0
2021,84.03,5.22,9.99,0.59,0,0,0.13,0.04,0
2022,82.79,4.78,11.29,0.92,0,0,0.15,0.08,0
2023,79.54,3.82,15.43,0.98,0,0,0.11,0.13,0
