"Date","Android","Series 40","iOS","Nokia Unknown","Windows","SymbianOS","BlackBerry OS","Unknown","Samsung","Firefox OS","Linux","LG","Sony Ericsson","Tizen","bada","Playstation","KaiOS","MeeGo","Other"
2012,14.39,30.87,20.87,0,1.25,14.73,3.53,4.5,7.59,0,0.09,0.19,0.64,0,0.89,0.29,0,0.04,0.12
2013,17.53,41.59,14.66,0.5,1.75,8.4,4.18,3.71,6.11,0,0.24,0.52,0.45,0,0.21,0.08,0,0.03,0.05
2014,25.87,41.97,9.13,4.88,4.41,3.33,3.55,2.07,3.8,0,0.33,0.25,0.18,0,0.17,0.04,0,0.02,0.01
2015,47.51,16.33,7.68,7.81,5.28,4.54,4.52,2.44,1.62,1.38,0.54,0.17,0.05,0,0.06,0.03,0,0.03,0.01
2016,60.99,5.29,5.76,6.2,4.94,3.63,3.82,2.83,1.12,4.4,0.77,0.09,0.02,0.02,0.06,0.05,0,0.02,0
2017,75.3,1.78,8,2.3,3.78,1.4,1.43,2.99,0.51,1.95,0.17,0.08,0,0.25,0.01,0.04,0,0.01,0
2018,81.21,0.88,9.16,1.16,1.82,0.47,0.75,3.01,0.18,0.94,0.13,0.06,0,0.22,0,0.01,0,0,0
2019,84.57,0.27,12.53,0.51,0.8,0.13,0.35,0.22,0.18,0.24,0.05,0,0,0.11,0,0.02,0,0,0
2020,86.76,0.04,12.53,0.02,0.12,0.02,0.15,0.04,0.16,0.05,0.03,0,0,0.05,0,0,0.02,0,0
2021,90.09,0.01,9.42,0.05,0.01,0,0.03,0.05,0.25,0.01,0.01,0,0,0.02,0,0,0.03,0,0
2022,89.62,0.01,9.95,0.01,0.02,0,0.02,0.03,0.27,0.01,0.01,0,0,0.01,0,0,0.04,0,0
2023,90.57,0.02,8.85,0.01,0.01,0.01,0,0.05,0.32,0.01,0.01,0,0,0.01,0,0,0.14,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
