"Date","Windows","OS X","Unknown","Linux","iOS","Android","Other"
2009,99.13,0.29,0.15,0.41,0,0,0.03
2010,98.15,0.8,0.19,0.8,0.04,0,0.03
2011,98.15,0.78,0.14,0.71,0.18,0.03,0.01
2012,97.91,0.93,0.07,0.76,0.22,0.1,0.02
2013,97.24,1.39,0.07,1.01,0.01,0.25,0.03
2014,95.77,2.05,0.88,1.17,0,0.12,0.02
2015,93.52,2.75,2.28,1.43,0,0,0.02
2016,91.27,4.75,2.91,1.06,0,0,0.02
2017,91.03,5.87,1.69,1.4,0,0,0.01
2018,88.43,8.06,2.37,1.12,0,0,0.02
2019,86.54,9.81,2.42,1.22,0,0,0.02
2020,85.72,11.47,1.13,1.67,0,0,0.01
2021,85.71,9.26,3.08,1.92,0,0,0.03
2022,84.85,9.13,3.57,2.43,0,0,0.02
2023,78.67,12.02,7.12,2.14,0,0,0.05
