"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Playstation","Android","BlackBerry OS","Nintendo","Other"
2009,89.26,9.44,0.74,0.23,0,0,0.29,0,0,0.03,0.01
2010,86.2,12.27,0.78,0.13,0.25,0,0.33,0,0,0.03,0.01
2011,82.92,14.43,0.77,0.08,1.3,0,0.35,0.06,0.04,0.03,0.01
2012,80.98,15.67,0.75,0.06,1.89,0,0.13,0.24,0.23,0.01,0.03
2013,82.4,16.18,1.02,0.06,0,0.03,0,0.31,0,0,0
2014,79.91,18.05,1.39,0.32,0,0.22,0,0.11,0,0,0
2015,76.57,20.72,1.7,0.63,0,0.38,0,0,0,0,0.01
2016,76.77,19.08,1.21,2.1,0,0.83,0,0,0,0,0.01
2017,76.31,20.44,1.31,0.79,0,1.14,0,0,0,0,0.01
2018,74.56,20.44,1.36,2.21,0,1.43,0,0,0,0,0.01
2019,72.17,20.83,1.22,4.06,0,1.71,0,0,0,0,0.01
2020,69.6,25.9,1.29,1.31,0,1.89,0,0,0,0,0
2021,70.06,23.8,1.61,1.7,0,2.82,0,0,0,0,0
2022,67.55,24.25,2.51,1.71,0,3.98,0,0,0,0,0
2023,65.39,26.09,2.41,3.01,0,3.09,0,0,0,0,0
