"Date","iOS","Android","BlackBerry OS","Windows","Samsung","Unknown","Playstation","Linux","Nintendo 3DS","webOS","Series 40","SymbianOS","Nintendo","Other"
2012,66.79,17.51,13.43,0.54,0.19,0.1,0.2,0.06,0.2,0.19,0.39,0.23,0.07,0.09
2013,69.62,20.86,7.99,0.83,0.02,0.11,0.09,0.08,0.11,0.09,0.03,0.07,0.06,0.04
2014,68.29,28.24,2.38,0.74,0.02,0.03,0.08,0.1,0.03,0.03,0.02,0.02,0.02,0.01
2015,64.62,31.8,2.24,1.04,0.01,0.04,0.06,0.1,0.03,0.02,0.02,0.01,0,0.02
2016,60.55,34.14,4.15,0.67,0.06,0.26,0.04,0.03,0.02,0.01,0,0.01,0,0.07
2017,59.78,37.85,1.6,0.34,0.16,0.2,0.03,0.01,0.01,0,0,0,0,0.02
2018,60.44,38.5,0.48,0.18,0.15,0.2,0.02,0.01,0.01,0,0,0,0,0.01
2019,58.75,40.74,0.15,0.11,0.19,0.03,0.01,0.01,0,0,0,0,0,0.01
2020,53.89,45.74,0.07,0.05,0.21,0.02,0.01,0,0,0,0,0,0,0.01
2021,55.41,44.03,0.04,0.02,0.47,0.01,0.01,0,0,0,0,0,0,0
2022,58.58,40.83,0.01,0.03,0.53,0,0,0,0,0,0,0,0,0.01
2023,61.07,38.35,0.01,0.04,0.51,0,0,0.01,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
