"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,96.07,0.14,1.66,1.97,0,0,0,0.16
2010,95.81,0.07,2.19,1.73,0,0.15,0,0.05
2011,94.93,0.09,2.9,1.16,0,0.8,0.08,0.03
2012,93.71,0.11,4.08,0.84,0,0.99,0.22,0.05
2013,93.17,0.18,5.14,1.03,0,0,0.46,0.02
2014,91.96,1.11,5.59,1.15,0.06,0,0.13,0
2015,88.87,3.51,5.63,1.89,0.08,0,0,0.01
2016,80.79,10.05,6.96,2.14,0.05,0,0,0.01
2017,83.73,5.76,8.32,2.07,0.1,0,0,0.03
2018,77.51,8.75,11.94,1.65,0.15,0,0,0
2019,72.73,12.03,14.14,1,0.1,0,0,0
2020,74.33,9.5,14.62,1.37,0.18,0,0,0
2021,56.22,37.08,4.63,1.75,0.31,0,0,0
2022,44.27,50.2,3.77,1.48,0.26,0,0,0
2023,29.07,67.15,2.57,0.96,0.23,0,0,0
