"Date","Android","Unknown","Linux","iOS","Samsung","Series 40","Windows","SymbianOS","BlackBerry OS","Nokia Unknown","LG","Sony Ericsson","bada","KaiOS","Firefox OS","Other"
2012,15.82,9.69,0.13,9.23,10.76,15.58,2.04,30.25,2.37,0,0.44,2.45,0.92,0,0,0.32
2013,21.75,18.2,0.41,2.98,22.41,15.21,1.2,9.08,1.99,0.14,1.97,4.21,0.19,0,0,0.24
2014,42.19,21.65,0.31,2.96,11.48,9.2,3.07,3.86,1.51,0.29,1.26,1.89,0.21,0,0,0.1
2015,68.13,11.82,11.49,0.82,1.83,1.92,1.75,0.59,0.54,0.46,0.34,0.24,0.05,0,0,0.02
2016,80.19,6.37,9.17,0.42,0.53,0.59,1.7,0.15,0.32,0.34,0.14,0.04,0.02,0,0.01,0.01
2017,60.88,30.98,0.78,1.54,0.86,1.1,1.81,0.31,0.4,0.84,0.31,0.05,0.02,0,0.06,0.04
2018,66.7,26.19,0.66,2.32,0.59,0.7,1.28,0.28,0.19,0.77,0.19,0.04,0.02,0,0.03,0.04
2019,69.6,24.31,0.8,3.83,0.38,0.22,0.41,0.12,0.14,0.11,0.02,0.01,0.01,0.03,0.01,0.03
2020,74.79,16.7,0.45,7.19,0.34,0.07,0.16,0.03,0.09,0.04,0.01,0,0,0.11,0,0.02
2021,79.13,10.38,0.2,9.82,0.08,0.04,0.05,0.01,0.05,0.02,0.01,0,0,0.2,0,0.01
2022,75.42,14.69,0.08,9.55,0.05,0.03,0.03,0.01,0.01,0.02,0,0,0,0.1,0,0.01
2023,75.66,14.85,0.05,9.2,0.04,0.02,0.01,0.01,0,0.01,0,0,0,0.14,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
