"Date","Android","Unknown","iOS","Linux","Windows","Samsung","KaiOS","BlackBerry OS","Series 40","SymbianOS","Firefox OS","Nokia Unknown","Sony Ericsson","LG","Playstation","bada","Other"
2012,28.35,14.72,33.91,0.02,0.82,2.55,0,2.34,8.2,6.28,0,0,1.12,0.54,0.51,0.58,0.07
2013,38.22,14.52,29.32,0.13,0.42,2.3,0,1.08,3.85,6.86,0,0,2.26,0.37,0.03,0.5,0.14
2014,70.36,11.64,8.13,0.38,0.53,1.94,0,1.17,0.9,1.59,0,0.01,1.83,1.37,0.04,0.1,0.02
2015,71.11,7.32,6.13,6.76,1.3,0.67,0,2.71,0.79,0.7,1.12,0.37,0.56,0.22,0.11,0.11,0.01
2016,74.12,4.34,7.6,4.04,3.41,2.19,0,0.78,0.19,0.27,1.59,0.65,0.02,0.19,0.57,0.04,0.01
2017,69.46,24.45,3.31,0.37,1.49,0.05,0,0.05,0.09,0.08,0.16,0.41,0,0.03,0.05,0,0
2018,84.42,10.32,4.11,0.18,0.67,0.02,0,0.04,0.05,0.03,0.08,0.03,0,0.03,0,0,0
2019,90.89,4.46,3.45,0.27,0.46,0.07,0.01,0.04,0.22,0.05,0,0.02,0,0.03,0.01,0,0
2020,89.43,5.32,4.8,0.08,0.08,0.07,0.11,0.05,0.02,0,0,0.02,0,0.01,0,0,0
2021,87.31,6.09,5.82,0.23,0.03,0.04,0.16,0.01,0.26,0,0,0.02,0.01,0.02,0.01,0,0
2022,85.16,9.78,4.43,0.03,0.01,0.06,0.43,0.01,0.02,0,0,0.06,0,0.01,0,0,0
2023,79.55,14.08,5.27,0.01,0,0.02,0.93,0,0.04,0,0,0.08,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
