"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,96.68,0.47,0.8,0.6,0,0,0,1.45
2010,96.83,0.13,1.77,1.18,0,0.09,0,0
2011,93.8,0.05,3.55,1.25,0,1.26,0.09,0.01
2012,94.03,0.05,4.08,0.53,0,1.1,0.19,0.01
2013,92.77,0.06,6.09,0.67,0,0,0.4,0
2014,94.28,0.24,4.63,0.75,0.03,0,0.07,0
2015,92.29,1.26,5.08,1.24,0.11,0,0,0.01
2016,84.84,4.44,9.03,1.52,0.14,0,0,0.03
2017,80.25,8.8,9.1,1.64,0.15,0,0,0.06
2018,82.84,6.57,9.52,1.01,0.06,0,0,0
2019,79.73,10.16,9.2,0.86,0.05,0,0,0
2020,80.12,9.4,9.22,1.18,0.08,0,0,0
2021,67.66,28.32,2.88,0.8,0.33,0,0,0
2022,68.89,27.96,2.28,0.64,0.23,0,0,0
2023,75.47,22.42,1.26,0.56,0.29,0,0,0
