"Date","Android","iOS","Unknown","Linux","Samsung","LG","BlackBerry OS","Series 40","Nokia Unknown","Windows","SymbianOS","KaiOS","bada","Sony Ericsson","Playstation","Other"
2012,29.75,22.36,12.26,0.12,5.9,0.17,2.14,8.03,0,1.61,11.87,0,2.85,2.38,0.07,0.46
2013,31.21,10.65,15.87,0.41,15.25,4.46,2.33,9.07,0.03,1.4,5.21,0,1.5,2.24,0.02,0.36
2014,59.9,5.97,11.46,0.67,7.66,3.05,2.63,3.42,0.09,1.05,2.21,0,0.77,0.95,0.04,0.11
2015,72.98,3.47,7.19,6.86,1.71,1.6,1.59,1.22,1.33,1.11,0.4,0,0.3,0.14,0.08,0.02
2016,73.05,2.38,9.3,6.64,1.85,1.63,1.4,0.76,1.49,0.8,0.22,0,0.23,0.15,0.08,0.02
2017,64.95,3.45,25.11,0.64,0.72,1.01,1.02,0.6,1.06,0.79,0.16,0,0.22,0.2,0.06,0.01
2018,71.34,4.53,19.78,0.3,0.86,0.53,0.68,0.62,0.19,0.52,0.21,0,0.28,0.04,0.07,0.04
2019,85.13,7.59,4.52,0.25,0.57,0.13,0.35,0.59,0.08,0.26,0.14,0.24,0.07,0,0.06,0.02
2020,88.6,8.53,1.31,0.06,0.14,0.02,0.2,0.17,0.02,0.2,0.02,0.64,0,0,0.08,0
2021,82.72,15.11,0.43,0.02,0.09,0,0.14,0.03,0,0.02,0,1.4,0,0.01,0.03,0
2022,82.8,16.16,0.2,0.02,0.19,0,0.02,0.01,0.01,0.02,0.01,0.52,0,0,0.05,0
2023,81.48,17.45,0.5,0.01,0.09,0,0,0.01,0.02,0.01,0,0.39,0,0,0.05,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
