"Date","Android","Unknown","iOS","LG","Linux","Samsung","Series 40","Windows","SymbianOS","BlackBerry OS","Firefox OS","Sony Ericsson","Nokia Unknown","bada","Playstation","Other"
2012,18.48,16.06,13.76,0.39,0.2,6.51,9.61,1.58,23.7,2.25,0,4.67,0,1.92,0.24,0.63
2013,23.72,18.48,6.27,10.79,0.31,14.31,9.75,0.65,9.23,1.9,0,3.19,0.06,1.05,0.06,0.22
2014,45.65,16.04,5.44,8.46,0.29,9.54,5.78,1.13,3.27,1.59,0,1.67,0.14,0.8,0.11,0.07
2015,73.14,8.58,2.71,2.93,4.9,1.75,1.35,1.59,0.6,0.82,0.44,0.26,0.55,0.25,0.12,0.01
2016,76.01,9.22,1.62,1.83,5.94,0.67,0.56,1.9,0.21,0.41,0.97,0.09,0.36,0.1,0.1,0
2017,69.09,20.25,3.77,1.44,0.21,0.39,1.29,1.51,0.14,0.34,1,0.04,0.38,0.06,0.06,0.01
2018,76.44,12.65,6.81,1.15,0.1,0.24,0.69,0.88,0.14,0.24,0.44,0.02,0.08,0.05,0.04,0
2019,79.02,8.74,10.2,0.52,0.07,0.18,0.36,0.36,0.16,0.13,0.12,0.01,0.09,0,0.03,0.01
2020,81.92,2.92,14.64,0.09,0.03,0.07,0.03,0.09,0.02,0.08,0.04,0,0.03,0,0.01,0.03
2021,74.68,1.6,23.37,0.04,0.01,0.1,0.01,0.06,0,0.05,0.02,0,0.01,0,0.01,0.04
2022,73.75,0.92,25.04,0.01,0.01,0.13,0.01,0.05,0,0.04,0.01,0,0.01,0,0,0.02
2023,71.82,1.1,26.82,0.01,0.01,0.12,0.01,0.02,0,0.04,0,0.01,0.01,0,0.01,0.03
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
