"Date","Android","iOS","Windows","Unknown","Series 40","Samsung","SymbianOS","Linux","BlackBerry OS","Nokia Unknown","Other"
2012,25.19,69.97,0.46,0.24,0.14,0.02,2.78,0.05,0.4,0,0.76
2013,40.58,55.85,0.5,0.11,0.66,0.08,1.5,0.18,0.14,0,0.4
2014,49.17,47.04,1.78,0.53,0.75,0.01,0.27,0.17,0.03,0,0.24
2015,53.45,43.3,2.27,0.22,0.3,0.05,0.12,0.15,0.06,0.05,0.03
2016,58.49,39.08,1.69,0.4,0.05,0.05,0.04,0.07,0.04,0.09,0.01
2017,61.98,36.99,0.74,0.07,0.06,0.02,0,0.02,0.11,0.01,0
2018,56.8,42.89,0.26,0.02,0,0.01,0,0.01,0.02,0,0
2019,59.09,40.81,0.08,0,0,0.01,0,0,0,0,0
2020,66.88,32.99,0.09,0,0,0.04,0,0,0,0,0
2021,72.03,27.83,0,0,0,0.13,0,0,0,0,0
2022,59.25,40.58,0.01,0,0,0.16,0,0,0,0,0
2023,57.64,42.24,0,0,0,0.12,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
