"Date","Android","iOS","Windows","Unknown","BlackBerry OS","Samsung","Series 40","LG","Nokia Unknown","Linux","SymbianOS","Playstation","Firefox OS","Sony Ericsson","Motorola","Other"
2012,30.59,43.39,1.49,2.44,12.78,1.28,4.48,0.01,0,0.13,2.09,0.3,0,0.42,0.2,0.4
2013,40.66,36.62,3.68,2.69,8.95,1.39,2.99,1.06,0,0.2,0.92,0.21,0.01,0.27,0.16,0.2
2014,62.92,23.82,4.62,0.9,4.52,0.44,1.2,0.87,0.03,0.21,0.2,0.12,0.03,0.05,0.04,0.04
2015,76.5,15.22,3.54,0.65,2.35,0.13,0.62,0.38,0.11,0.2,0.08,0.09,0.08,0.01,0.02,0.01
2016,81.59,13.04,2.37,1.09,0.89,0.14,0.24,0.14,0.27,0.1,0.03,0.05,0.04,0,0,0
2017,84.27,10.96,1.28,2.21,0.26,0.4,0.13,0.11,0.23,0.1,0.01,0.03,0.02,0,0,0
2018,81.68,10.51,0.57,5.69,0.07,0.96,0.18,0.2,0.01,0.08,0.02,0.02,0.01,0,0,0
2019,85.49,10.66,0.27,2.57,0.04,0.61,0.15,0.13,0.02,0.03,0.01,0.02,0,0,0,0
2020,87.98,11.35,0.06,0.02,0.01,0.54,0,0,0,0,0,0.01,0,0,0,0
2021,89.03,10.59,0.01,0.02,0.01,0.32,0,0,0,0,0,0.01,0,0,0,0
2022,88.06,11.58,0.01,0.03,0,0.31,0,0,0,0,0,0,0,0,0,0
2023,81.63,18,0.01,0.03,0,0.32,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
