"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,94.64,4.06,1.14,0.09,0,0,0,0.03,0.04
2010,93.98,4.53,1.28,0.06,0.08,0,0,0.05,0.03
2011,92.81,5.42,1.14,0.03,0.45,0,0.04,0.07,0.03
2012,91.99,5.84,1.14,0.02,0.72,0,0.16,0.05,0.07
2013,90.79,7.38,1.37,0.04,0,0.03,0.39,0,0
2014,86.53,11.26,1.46,0.47,0,0.15,0.13,0,0
2015,80.83,15.26,1.97,1.64,0,0.24,0,0,0.05
2016,71.81,21.96,1.5,4.42,0,0.28,0,0,0.03
2017,69.53,26.28,2.53,1.46,0,0.2,0,0,0
2018,67.88,27.96,1.62,2.34,0,0.2,0,0,0
2019,61.07,33.47,0.75,4.51,0,0.2,0,0,0
2020,64.28,32.99,0.85,1.59,0,0.29,0,0,0
2021,76.34,16.93,1.71,4.34,0,0.67,0,0,0
2022,76.51,15.83,1.44,5.05,0,1.17,0,0,0.01
2023,75.6,13.88,1.65,7.82,0,1.04,0,0,0
