"Date","Android","iOS","Unknown","Windows","Series 40","Samsung","SymbianOS","Nokia Unknown","Linux","LG","Playstation","BlackBerry OS","bada","Sony Ericsson","Firefox OS","Motorola","Other"
2012,29.21,44.44,7.75,0.33,8.57,2.49,4.25,0,0.02,0.03,0.13,0.44,0.28,1.6,0,0.14,0.34
2013,32.83,33.48,13.31,1.54,9.9,3.56,2.71,0.03,0.29,0.98,0.1,0.4,0.29,0.44,0,0.01,0.12
2014,51.35,29.4,6.9,2.84,5.13,1.71,0.97,0.15,0.3,0.62,0.09,0.21,0.13,0.17,0,0.01,0.02
2015,57.94,16.35,14.6,3.21,3.08,1.36,0.95,1.05,0.59,0.29,0.14,0.18,0.15,0.08,0.01,0,0.02
2016,68.77,15.24,5.54,4.43,1.77,1.03,0.8,1.2,0.32,0.18,0.36,0.13,0.08,0.03,0.07,0.05,0.01
2017,81.58,12.24,2.73,1.91,0.3,0.28,0.2,0.35,0.07,0.05,0.15,0.03,0.03,0,0.03,0.04,0
2018,82.56,14.53,1.07,1.18,0.11,0.12,0.04,0.15,0.02,0.04,0.12,0.02,0.01,0,0.02,0,0
2019,82.75,16.33,0.05,0.7,0.04,0.04,0,0.02,0.02,0,0.02,0.01,0,0,0.01,0,0
2020,86.5,13.03,0.03,0.18,0.02,0.18,0,0,0.01,0,0.02,0.01,0,0,0.01,0,0
2021,84.93,14.4,0.02,0.09,0.01,0.4,0,0,0.07,0,0.05,0.01,0,0,0,0,0.01
2022,81.17,18.41,0,0.06,0,0.32,0,0,0,0,0.01,0,0,0,0,0,0
2023,79.32,20.37,0,0.07,0,0.22,0,0.01,0,0,0.01,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
