"Date","Android","iOS","Windows","BlackBerry OS","Firefox OS","LG","SymbianOS","Playstation","Linux"
2015,35.08,60.5,3.87,0,0,0.28,0.28,0,0
2016,61.11,30.72,6.21,0.98,0.65,0,0,0.33,0
2017,59.8,19.6,17.61,2.66,0,0,0,0,0.33
2018,42.11,57.89,0,0,0,0,0,0,0
2019,87.86,12.14,0,0,0,0,0,0,0
2020,80.82,19.18,0,0,0,0,0,0,0
2021,92.73,7.27,0,0,0,0,0,0,0
2022,98.17,1.83,0,0,0,0,0,0,0
2023,58.39,40.88,0.73,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
