"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Playstation","FreeBSD","Other"
2009,96.8,2.13,0.12,0.44,0,0,0,0.06,0.45,0
2010,96.37,2.81,0.06,0.56,0.11,0,0,0.09,0,0
2011,95.29,3.37,0.04,0.5,0.67,0.04,0,0.09,0,0
2012,93.38,4.32,0.03,0.58,1.45,0.18,0,0.05,0,0.02
2013,94.76,4.36,0.02,0.63,0,0.22,0.01,0,0,0
2014,93.61,5.05,0.38,0.82,0,0.09,0.06,0,0,0
2015,92.25,5.64,1.05,0.99,0,0,0.07,0,0,0
2016,87.66,7.4,3.86,1,0,0,0.09,0,0,0
2017,85.92,9.79,3.28,0.92,0,0,0.09,0,0,0
2018,81.77,11.15,6.21,0.77,0,0,0.1,0,0,0
2019,79.21,13.1,6.78,0.81,0,0,0.1,0,0,0
2020,77.21,16,5.63,1,0,0,0.17,0,0,0
2021,79.77,10.81,8.19,1.09,0,0,0.14,0,0,0
2022,78.88,9.81,9.82,1.31,0,0,0.18,0,0,0
2023,75.42,10.6,10.75,3.04,0,0,0.18,0,0,0
