"Date","Android","iOS","Windows","Unknown","Samsung","Series 40","SymbianOS","BlackBerry OS","Linux","Nokia Unknown","Sony Ericsson","bada","Playstation","Other"
2012,31.13,62.11,0.89,0.16,0.32,1.88,1.86,0.65,0.16,0,0.33,0.23,0.09,0.18
2013,36.98,57.58,1.37,0.15,0.2,1.4,1.01,0.49,0.4,0,0.18,0.14,0.04,0.08
2014,48.38,48.65,1.19,0.08,0.07,0.48,0.3,0.3,0.35,0.03,0.05,0.05,0.02,0.04
2015,56.5,39.98,2.4,0.2,0.03,0.17,0.1,0.18,0.25,0.15,0.01,0.01,0.02,0.02
2016,64.1,33.04,1.59,0.54,0.1,0.11,0.05,0.13,0.08,0.19,0.01,0,0.01,0.05
2017,68.83,28.69,0.9,1.06,0.22,0.03,0.01,0.08,0.02,0.11,0,0,0.03,0.04
2018,71.36,27.66,0.35,0.36,0.18,0.01,0.01,0.03,0.01,0.01,0,0,0.01,0.02
2019,74.48,25.12,0.14,0.02,0.19,0,0.01,0.02,0.01,0.01,0,0,0,0
2020,75.66,24.11,0.05,0.02,0.14,0,0,0.01,0,0,0,0,0,0
2021,72.54,26.97,0.05,0.02,0.4,0.01,0,0.01,0,0,0,0,0,0
2022,75.5,23.86,0.03,0.02,0.54,0.03,0.01,0,0,0,0,0,0,0.01
2023,73.52,25.95,0.04,0.01,0.41,0.01,0.01,0.01,0.01,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
