"Date","Windows","OS X","Linux","Unknown","iOS","Playstation","Android","Chrome OS","Other"
2009,94.8,3.66,1.13,0.21,0,0.17,0,0,0.02
2010,92.75,5.41,1.33,0.17,0.08,0.23,0,0,0.02
2011,91.66,6.09,1.45,0.14,0.41,0.19,0.04,0,0.02
2012,89.87,6.87,2.08,0.07,0.85,0.1,0.13,0,0.03
2013,89.43,7.51,2.68,0.06,0,0,0.32,0.01,0.01
2014,88.38,8.73,2.45,0.29,0,0,0.1,0.04,0.01
2015,86.43,9.83,2.84,0.82,0,0,0,0.07,0.01
2016,83.32,10.91,3.22,2.43,0,0,0,0.09,0.01
2017,81.36,13.11,3.84,1.55,0,0,0,0.11,0.02
2018,79.51,13.61,3.44,3.29,0,0,0,0.12,0.02
2019,78.75,14.29,3.37,3.48,0,0,0,0.09,0.02
2020,77.52,17.77,3.2,1.36,0,0,0,0.14,0.01
2021,77.69,17.79,2.29,1.82,0,0,0,0.4,0.01
2022,76.75,18.2,2.69,1.87,0,0,0,0.48,0.01
2023,76.96,15.78,2.64,3.23,0,0,0,1.36,0.02
