"Date","Android","iOS","Windows","Samsung","Linux","Unknown","BlackBerry OS","SymbianOS","Series 40","Playstation","Nintendo 3DS","bada","Nokia Unknown","Sony Ericsson","Other"
2012,41.76,50.46,1.49,0.81,0.27,0.59,0.31,1.48,1.05,0.28,0.45,0.45,0,0.32,0.29
2013,48.88,46.41,1.64,0.28,0.48,0.25,0.25,0.62,0.39,0.11,0.21,0.22,0,0.11,0.14
2014,60.13,36.78,1.72,0.05,0.39,0.27,0.17,0.14,0.11,0.06,0.03,0.05,0.01,0.05,0.04
2015,59.07,37.41,2.26,0.06,0.42,0.17,0.21,0.08,0.07,0.07,0.04,0.03,0.06,0.01,0.04
2016,60.36,36.6,2.01,0.25,0.1,0.25,0.16,0.03,0.04,0.04,0.02,0.01,0.09,0.01,0.02
2017,62.06,35.98,1.22,0.29,0.04,0.18,0.1,0.02,0.02,0.03,0.01,0.01,0.03,0.01,0.01
2018,63.61,35.17,0.63,0.34,0.03,0.08,0.04,0.01,0.02,0.02,0.02,0,0.02,0,0.01
2019,67.14,32.05,0.3,0.37,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0,0.01,0,0
2020,67.77,31.62,0.08,0.43,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0,0.01,0,0
2021,62.93,36.02,0.04,0.95,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0,0
2022,59.91,37.68,0.02,2.36,0.01,0.01,0,0,0,0,0,0,0,0,0
2023,60.06,39,0.04,0.85,0.03,0.01,0,0,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
