"Date","Android","Series 40","iOS","Unknown","Nokia Unknown","SymbianOS","Samsung","Windows","Linux","LG","BlackBerry OS","Sony Ericsson","bada","Playstation","Other"
2012,8.64,36.25,10.53,9.04,0,20.95,10.97,0.83,0.03,0.1,1.24,1.01,0.25,0.07,0.1
2013,16.16,40.17,9.79,5.69,0.13,14.3,8.58,0.64,0.65,1.19,1,1.44,0.17,0.01,0.1
2014,29.13,39.69,6.57,6.35,2.32,5.6,5.46,1.34,0.29,1.53,0.7,0.89,0.05,0.05,0.04
2015,63.44,9.63,5.83,6.2,7.84,1.09,1.25,1.15,2.05,1,0.42,0.06,0.01,0.01,0.01
2016,72.96,2.54,5.08,10.41,4.64,0.25,0.37,1.55,1.41,0.61,0.13,0.01,0.02,0.01,0.01
2017,80.18,2.45,9.8,5.15,0.86,0.03,0.07,1.1,0.15,0.11,0.05,0,0.01,0.02,0.01
2018,85.61,1.35,9.08,2.73,0.22,0.03,0.05,0.54,0.06,0.01,0.03,0,0,0.27,0.02
2019,89.15,0.51,9.75,0.19,0.1,0.01,0.04,0.06,0.17,0.01,0.01,0,0,0,0
2020,89.44,0.04,10.31,0.03,0.02,0,0.08,0.03,0.03,0,0,0,0,0,0.02
2021,87.29,0,12.42,0.01,0.02,0,0.21,0.01,0.01,0,0.01,0,0,0,0
2022,85.28,0,14.42,0.01,0.01,0,0.23,0,0.03,0,0,0,0,0,0
2023,86.12,0,13.75,0.03,0,0,0.08,0,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
