"Date","iOS","Android","Windows","Samsung","Unknown","SymbianOS","Series 40","BlackBerry OS","Linux","Nokia Unknown","Playstation","Other"
2012,76.41,21.61,1.21,0.01,0.02,0.32,0.13,0.06,0.05,0,0.01,0.18
2013,77.69,20.41,1.5,0,0.03,0.12,0.1,0.04,0.04,0,0,0.06
2014,72.5,25.65,1.64,0,0.06,0.02,0.03,0.02,0.02,0,0.04,0.02
2015,72.1,25.86,1.83,0.01,0.02,0.03,0.03,0.04,0.03,0.03,0.01,0.02
2016,69.17,28.92,1.58,0.08,0.08,0.02,0.02,0.04,0.02,0.03,0.01,0.03
2017,59.86,38.72,0.86,0.09,0.35,0.01,0,0.03,0.03,0.04,0,0.01
2018,60.27,38.9,0.56,0.1,0.12,0.01,0,0.01,0.02,0.01,0,0.01
2019,61.32,38.45,0.11,0.1,0,0,0,0.01,0,0.01,0,0
2020,58.12,41.71,0.04,0.12,0,0,0,0,0,0,0,0
2021,64.26,35.39,0.02,0.31,0,0,0,0.01,0,0,0,0
2022,64.66,34.9,0.05,0.37,0,0.01,0,0,0,0,0,0
2023,66.23,33.33,0.04,0.38,0,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
