"Date","Android","iOS","Windows","BlackBerry OS","Linux","Unknown","Samsung","Playstation","Series 40","LG","Nokia Unknown","SymbianOS","bada","Nintendo","Other"
2012,29.82,51.95,0.59,11.09,3.04,0.19,0.05,1.13,0.43,0,0,0.96,0.12,0.29,0.33
2013,36.22,45.81,1.11,7.8,5.93,0.71,0.19,0.53,0.47,0.01,0,0.68,0.09,0.22,0.23
2014,64.02,17.85,7.98,5.12,2.89,0.44,0.11,0.27,0.59,0.03,0.33,0.28,0.06,0.02,0.02
2015,60.12,17.78,16.77,2.73,1.52,0.43,0.02,0.18,0.16,0.01,0.18,0.05,0.01,0,0.03
2016,76.32,17.31,2.63,1.95,0.27,0.42,0.01,0.2,0.12,0.6,0.09,0.03,0.03,0,0.03
2017,79,18.11,1.74,0.72,0.07,0.09,0.05,0.11,0.01,0,0.06,0.01,0.01,0,0.01
2018,82.24,16.12,1.36,0.1,0.04,0.07,0.05,0.01,0,0,0,0,0,0,0
2019,87.86,11.46,0.43,0.11,0.01,0.01,0.1,0,0,0,0,0,0,0,0
2020,85.08,14.6,0.1,0.1,0.03,0,0.09,0,0,0,0,0,0,0,0
2021,84.52,14.9,0.05,0.01,0.05,0,0.46,0.01,0,0,0,0,0,0,0
2022,82.69,16.02,0.01,0.01,0,0,1.26,0,0,0,0,0,0,0,0
2023,79.75,19.62,0,0,0,0,0.61,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
