"Date","Android","iOS","BlackBerry OS","Windows","Series 40","Unknown","Linux","Samsung","Playstation","Nokia Unknown","SymbianOS","Sony Ericsson","Nintendo","Nintendo 3DS","LG","webOS","Other"
2012,27.59,40.93,21.07,0.93,2.79,3.21,0.08,0.33,0.77,0,0.98,0.4,0.22,0.25,0.01,0.21,0.22
2013,35.74,38.51,14.98,2.25,3.04,3,0.5,0.29,0.32,0,0.55,0.23,0.15,0.11,0.07,0.12,0.12
2014,56.12,28.52,8.52,2.73,1.89,1,0.45,0.11,0.26,0.05,0.15,0.04,0.03,0.03,0.04,0.03,0.04
2015,71.43,19.52,4.32,2.66,0.8,0.37,0.33,0.04,0.15,0.24,0.05,0,0.02,0.01,0.02,0.01,0.01
2016,76.83,19.4,1.17,1.65,0.25,0.2,0.16,0.02,0.11,0.16,0.02,0,0,0.01,0.01,0,0.01
2017,78.95,19.53,0.27,0.79,0.08,0.14,0.06,0.05,0.07,0.04,0,0,0,0.01,0.01,0,0
2018,78.53,20.66,0.08,0.41,0.02,0.06,0.03,0.16,0.03,0.01,0,0,0,0.01,0,0,0
2019,76.62,22.87,0.03,0.27,0,0.02,0.02,0.14,0.01,0,0,0,0,0,0,0,0
2020,74.99,24.73,0.01,0.07,0,0,0.01,0.17,0.01,0,0,0,0,0,0,0,0
2021,71.71,27.98,0.01,0.05,0,0.01,0.01,0.23,0.01,0,0,0,0,0,0,0,0
2022,69.45,30.21,0,0.02,0,0.01,0,0.3,0.01,0,0,0,0,0,0,0,0.01
2023,64.44,35.19,0,0.03,0,0.01,0,0.32,0,0,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
