"Date","Android","iOS","Windows","Samsung","SymbianOS","Series 40","Unknown","Linux","Playstation","BlackBerry OS","Nokia Unknown","bada","Sony Ericsson","LG","MeeGo","Other"
2012,49.13,40.71,2.15,0.41,3.18,2.09,0.54,0.44,0.25,0.09,0,0.3,0.35,0.01,0.19,0.14
2013,53.97,38.15,3.08,0.33,1.64,1.29,0.5,0.26,0.07,0.07,0,0.23,0.18,0.1,0.09,0.05
2014,62.32,33.48,3.06,0.04,0.26,0.26,0.06,0.11,0.13,0.04,0.03,0.06,0.08,0.04,0.02,0.01
2015,64.88,31.4,2.64,0.04,0.16,0.21,0.11,0.16,0.12,0.12,0.09,0.01,0.01,0.02,0.01,0.01
2016,65.68,31.46,1.91,0.12,0.13,0.18,0.18,0.12,0.03,0.06,0.09,0.01,0,0.01,0.01,0.01
2017,63.75,34.44,1.28,0.16,0.08,0.03,0.11,0.02,0.02,0.07,0.02,0.01,0,0,0,0
2018,64.99,34.2,0.48,0.13,0.05,0.02,0.02,0.01,0,0.01,0.02,0,0,0.07,0,0
2019,64.39,35.02,0.14,0.37,0,0.01,0.02,0.01,0,0.01,0.02,0,0,0,0,0
2020,67.2,32.1,0.05,0.58,0,0,0.05,0,0,0,0.01,0,0,0,0,0
2021,66.82,32.64,0.01,0.48,0,0,0.03,0,0,0,0.01,0,0,0,0,0
2022,63.59,35.91,0.01,0.46,0,0,0.01,0,0,0,0.01,0,0,0,0,0
2023,58.99,40.35,0.07,0.49,0.01,0.01,0.02,0.03,0,0.02,0,0,0,0,0.01,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
