"Date","Windows","OS X","Unknown","Linux","iOS","Android","Other"
2009,99.41,0.32,0.07,0.18,0,0,0.02
2010,99.18,0.55,0.07,0.18,0.02,0,0.01
2011,98.97,0.66,0.07,0.15,0.12,0.02,0.01
2012,98.73,0.75,0.1,0.17,0.19,0.05,0.01
2013,98.62,0.97,0.03,0.22,0,0.16,0
2014,97.28,1.99,0.28,0.37,0,0.08,0
2015,95.76,3.27,0.6,0.37,0,0,0
2016,94.49,3.88,1.25,0.37,0,0,0
2017,93.85,4.66,0.96,0.51,0,0,0.01
2018,90.14,6.37,2.7,0.66,0,0,0.12
2019,86.92,7.03,5.06,0.98,0,0,0.01
2020,89.69,7.82,1.55,0.92,0,0,0.02
2021,91.11,3.1,4.71,1.05,0,0,0.03
2022,96.4,1.6,1.31,0.66,0,0,0.03
2023,84.66,3.85,8.59,2.8,0,0,0.1
