"Date","Android","iOS","Nokia Unknown","Windows","Series 40","Unknown","Samsung","SymbianOS","Other"
2018,95.21,3.17,0.78,0.58,0.19,0,0,0.06,0
2019,96.99,2.68,0,0.1,0.1,0.03,0,0.07,0.03
2020,95.51,3.88,0.39,0.22,0,0,0,0,0
2021,98.19,1.46,0.13,0,0,0.09,0.13,0,0
2022,98.22,1.73,0,0,0,0,0.04,0,0
2023,98.48,1.47,0,0,0,0.06,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
