"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,94.11,3.96,1.68,0.1,0,0,0,0.13,0.01
2010,93.2,4.61,1.76,0.06,0.12,0,0,0.23,0.02
2011,91.61,5.44,1.94,0.04,0.74,0,0.05,0.16,0.02
2012,90.2,6.28,1.98,0.03,1.26,0,0.17,0.05,0.02
2013,89.92,7.19,2.36,0.02,0,0,0.5,0,0
2014,86.95,8.95,2.81,1.03,0,0.02,0.23,0,0
2015,84.97,10.35,2.78,1.84,0,0.06,0,0,0.01
2016,80.77,12.57,2.34,4.19,0,0.11,0,0,0.01
2017,80.46,15.01,2.44,1.83,0,0.24,0,0,0
2018,76.98,15.58,2.31,4.73,0,0.4,0,0,0
2019,74.55,17.8,2.26,4.71,0,0.67,0,0,0
2020,75.77,19.84,1.95,1.72,0,0.72,0,0,0
2021,77.17,15.1,2.28,3.63,0,1.81,0,0,0
2022,77.88,14.34,2.59,2.87,0,2.32,0,0,0
2023,74.73,13.08,2.58,7.72,0,1.89,0,0,0
