"Date","Windows","Linux","Unknown","OS X","Chrome OS","iOS","SunOS","Android","Other"
2009,95.54,3.89,0.1,0.47,0,0,0.01,0,0
2010,97.46,1.7,0.07,0.75,0,0.02,0,0,0
2011,95.27,2.89,0.07,1.44,0,0.15,0.15,0.02,0
2012,94.16,3.5,0.09,1.73,0,0.33,0.1,0.07,0.01
2013,88.98,9.16,0.07,1.7,0.01,0,0.01,0.07,0
2014,81.37,16.72,0.1,1.78,0.01,0,0,0.01,0
2015,94.01,3.16,0.53,2.26,0.03,0,0.01,0,0
2016,91.31,4.18,1.7,2.75,0.03,0,0.01,0,0.02
2017,90.48,4.7,1.46,3.31,0.04,0,0,0,0
2018,89.84,3.02,2.76,4.27,0.12,0,0,0,0
2019,89.46,1.85,4.29,4.32,0.08,0,0,0,0
2020,90.28,1.63,3.22,4.68,0.18,0,0,0,0
2021,85.3,3.05,9.45,1.82,0.37,0,0,0,0.01
2022,84.03,4.6,9.45,1.29,0.62,0,0,0,0.01
2023,78.41,5.63,13.35,1.36,1.23,0,0,0,0.03
