"Date","Android","Series 40","Unknown","iOS","SymbianOS","Nokia Unknown","Samsung","Linux","Windows","BlackBerry OS","LG","Sony Ericsson","KaiOS","bada","Other"
2012,5.26,51.65,6.97,3.99,22.53,0,5.6,0.12,0.85,1.83,0.23,0.84,0,0.06,0.07
2013,13.99,46.11,16.48,3.38,12.71,0.14,4.58,0.24,0.25,1.23,0.34,0.48,0,0.04,0.03
2014,28.06,37.65,15.45,4.67,6.81,1.79,3.06,0.42,0.73,0.63,0.32,0.34,0,0.05,0.02
2015,46.77,18.48,20.64,2.49,2.67,3.63,1.44,2.53,0.53,0.47,0.19,0.14,0,0.02,0.02
2016,67.59,10.85,11.28,1.6,1.41,3.01,0.94,2.54,0.39,0.13,0.2,0.05,0,0.01,0.01
2017,82.4,8.14,4,1.82,0.84,1.19,0.56,0.26,0.5,0.1,0.14,0.03,0,0.01,0.01
2018,88.18,4.65,2.73,2.35,0.42,0.47,0.42,0.28,0.36,0.04,0.06,0.02,0,0,0.01
2019,87,3,4.78,3.26,0.36,0.59,0.23,0.42,0.19,0.04,0.11,0.01,0,0,0.01
2020,87.74,0.83,4.6,5.47,0.09,0.34,0.18,0.53,0.12,0.02,0.06,0,0,0,0.01
2021,89.56,0.23,2.41,7,0.04,0.11,0.25,0.34,0.02,0.02,0.02,0,0,0,0.01
2022,91.41,0.14,2.19,5.74,0.02,0.07,0.26,0.13,0.01,0.01,0.01,0,0.02,0,0.01
2023,91.67,0.1,2.2,5.03,0.01,0.05,0.48,0.07,0.01,0,0,0,0.34,0,0.03
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
